variable,lag
RPI_t,1
W875RX1_t,1
DPCERA3M086SBEA_t,1
CMRMTSPLx_t,1
RETAILx_t,2
INDPRO_t,1
IPFPNSS_t,4
IPFINAL_t,1
IPCONGD_t,1
IPDCONGD_t,1
IPNCONGD_t,3
IPBUSEQ_t,1
IPMAT_t,1
IPDMAT_t,1
IPNMAT_t,1
IPMANSICS_t,1
IPB51222S_t,2
IPFUELS_t,1
CUMFNS_t,2
HWI_t,6
HWIURATIO_t,4
CLF16OV_t,1
CE16OV_t,1
UNRATE_t,1
UEMPMEAN_t,3
UEMPLT5_t,1
UEMP5TO14_t,1
UEMP15OV_t,4
UEMP15T26_t,1
UEMP27OV_t,1
CLAIMSx_t,1
PAYEMS_t,2
USGOOD_t,2
CES1021000001_t,1
USCONS_t,1
MANEMP_t,2
DMANEMP_t,1
NDMANEMP_t,2
SRVPRD_t,1
USTPU_t,1
USWTRADE_t,2
USTRADE_t,2
USFIRE_t,2
USGOVT_t,3
CES0600000007_t,1
AWOTMAN_t,1
AWHMAN_t,2
HOUST_t,1
HOUSTNE_t,1
HOUSTMW_t,1
HOUSTS_t,1
HOUSTW_t,1
AMDMNOx_t,1
AMDMUOx_t,1
BUSINVx_t,1
ISRATIOx_t,1
M1SL_t,8
M2SL_t,8
M2REAL_t,1
BOGMBASE_t,11
TOTRESNS_t,3
NONBORRES_t,5
BUSLOANS_t,5
REALLN_t,5
NONREVSL_t,6
CONSPI_t,5
S&P 500_t,1
S&P div yield_t,1
S&P PE ratio_t,3
FEDFUNDS_t,3
CP3Mx_t,8
TB3MS_t,5
TB6MS_t,3
GS1_t,3
GS5_t,3
GS10_t,1
AAA_t,1
BAA_t,1
COMPAPFFx_t,5
TB3SMFFM_t,1
TB6SMFFM_t,5
T1YFFM_t,5
T5YFFM_t,2
T10YFFM_t,5
AAAFFM_t,2
BAAFFM_t,3
EXSZUSx_t,1
EXJPUSx_t,3
EXUSUKx_t,1
EXCAUSx_t,1
WPSFD49207_t,4
WPSFD49502_t,5
WPSID61_t,4
WPSID62_t,5
PPICMM_t,4
CPIAUCSL_t,2
CPIAPPSL_t,5
CPITRNSL_t,5
CPIMEDSL_t,1
CUSR0000SAC_t,5
